Year,Armenia,Azerbaijan,Georgia
1997,33000000,176000000,75000000
1998,41000000,143000000,229000000
1999,47000000,93000000,131000000
2000,52000000,68000000,107000000
2001,81000000,57000000,136000000
2002,81000000,63000000,144000000
2003,90000000,70000000,172000000
2004,189000000,79000000,209000000
2005,243000000,100000000,287000000
2006,406000000,201000000,361000000
2007,522000000,317000000,440000000
2008,564000000,382000000,505000000
2009,570000000,545000000,537000000
2010,694000000,792000000,737000000
2011,762000000,1500000000,1069000000
2012,853000000,2634000000,1565000000
2013,905000000,2618000000,1916000000
2014,994000000,2713000000,1972000000
2015,956000000,2535000000,2049000000
2016,988000000,2855000000,2315000000
2017,1140000000,3214000000,2971000000
